id,word,lemma,upos,feats,head,deprel,segment_id,is_prompt
7,узнала,узнать,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,1,conj,9,1
8,",",",",PUNCT,_,11,punct,9,1
9,что,что,SCONJ,_,11,mark,9,1
10,там,там,ADV,Degree=Pos,11,advmod,9,1
11,есть,быть,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,7,ccomp,9,1
12,дерево,дерево,NOUN,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,11,nsubj,9,1
13,?,?,PUNCT,_,1,punct,9,1
1,Яблоко,яблоко,NOUN,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,3,nsubj,10,0
2,/,/,PUNCT,_,1,punct,10,0
3,упало,упасть,VERB,Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,10,0
1,Да,да,PART,_,2,cc,11,1
2,Молодец,молодец,NOUN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,0,root,11,1
3,!,!,PUNCT,_,2,punct,11,1
4,Аа,аа,INTJ,_,6,cc,11,1
5,Сейчас,сейчас,ADV,Degree=Pos,6,advmod,11,1
6,посмотрим,посмотреть,VERB,Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act,2,parataxis,11,1
7,продолжение,продолжение,NOUN,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,6,obj,11,1
8,.,.,PUNCT,_,16,punct,11,1
9,И,и,CCONJ,_,16,cc,11,1
10,ты,ты,PRON,Case=Nom|Number=Sing|Person=2,16,nsubj,11,1
11,мне,я,PRON,Case=Dat|Number=Sing|Person=1,16,iobj,11,1
12,также,также,ADV,Degree=Pos,11,obl,11,1
13,со,с,ADP,_,15,case,11,1
14,всеми,весь,DET,Case=Ins|Number=Plur,15,det,11,1
15,деталями,деталь,NOUN,Animacy=Inan|Case=Ins|Gender=Fem|Number=Plur,16,obl,11,1
16,расскажешь,рассказать,VERB,Aspect=Perf|Mood=Ind|Number=Sing|Person=2|Tense=Fut|VerbForm=Fin|Voice=Act,6,conj,11,1
17,",",",",PUNCT,_,19,punct,11,1
18,что,что,PRON,Case=Nom,19,nsubj,11,1
19,произошло,произойти,VERB,Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,16,ccomp,11,1
20,.,.,PUNCT,_,2,punct,11,1
1,Расскажи,рассказать,VERB,Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act,0,root,12,1
2,",",",",PUNCT,_,4,punct,12,1
3,что,что,PRON,Case=Nom,4,nsubj,12,1
4,произошло,произойти,VERB,Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,1,ccomp,12,1
5,в,в,ADP,_,6,case,12,1
6,мультике,мультик,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,4,obl,12,1
7,",",",",PUNCT,_,9,punct,12,1
8,как,как,ADV,Degree=Pos,9,mark,12,1
9,можно,можно,ADV,Degree=Pos,1,conj,12,1
10,подробнее,дробный,ADV,Degree=Cmp,9,advmod,12,1
11,.,.,PUNCT,_,1,punct,12,1
1,Маша,маша,PROPN,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,2,nsubj,13,0
2,упала,упасть,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,13,0
3,с,с,ADP,_,4,case,13,0
4,дерева,дерево,NOUN,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,2,obl,13,0
1,угу,угу,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act,0,root,14,1
2,/,/,PUNCT,_,4,punct,14,1
3,Что,что,PRON,Case=Nom,4,nsubj,14,1
4,было,быть,VERB,Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,1,parataxis,14,1
5,потом,потом,ADV,Degree=Pos,4,advmod,14,1
6,?,?,PUNCT,_,5,punct,14,1
7,/,/,PUNCT,_,9,punct,14,1
8,Маша,маша,PROPN,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,9,nsubj,14,1
9,упала,упасть,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,1,conj,14,1
10,с,с,ADP,_,11,case,14,1
11,дерева,дерево,NOUN,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,9,obl,14,1
12,.,.,PUNCT,_,19,punct,14,1
13,А,а,CCONJ,_,15,cc,14,1
14,что,что,PRON,Case=Nom,15,nsubj,14,1
15,произошло,произойти,VERB,Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,1,conj,14,1
16,потом,потом,ADV,Degree=Pos,15,advmod,14,1
17,?,?,PUNCT,_,16,punct,14,1
18,/,/,PUNCT,_,19,punct,14,1
19,Смотри,смотреть,VERB,Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act,1,conj,14,1
20,",",",",PUNCT,_,23,punct,14,1
21,вот,вот,PART,_,22,advmod,14,1
22,сейчас,сейчас,ADV,Degree=Pos,23,advmod,14,1
23,где,где,ADV,Degree=Pos,19,conj,14,1
24,Маша,маша,PROPN,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,23,nsubj,14,1
25,?,?,PUNCT,_,1,punct,14,1
1,В,в,ADP,_,3,case,15,0
2,в,в,ADP,_,3,case,15,0
3,доме,дом,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,0,root,15,0
1,Как,как,ADV,Degree=Pos,4,advmod,16,1
2,/,/,PUNCT,_,1,punct,16,1
3,она,она,PRON,Case=Nom|Gender=Fem|Number=Sing|Person=3,4,nsubj,16,1
4,увидела,увидеть,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,16,1
5,дом,дом,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,4,obj,16,1
6,?,?,PUNCT,_,4,punct,16,1
1,Прикатилась,прикатиться,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid,0,root,17,0
1,Она,она,PRON,Case=Nom|Gender=Fem|Number=Sing|Person=3,2,nsubj,18,1
2,прикатилась,прикатиться,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid,0,root,18,1
3,",",",",PUNCT,_,4,punct,18,1
4,отлично,отлично,ADV,Degree=Pos,2,parataxis,18,1
5,.,.,PUNCT,_,4,punct,18,1
6,М,м,PROPN,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,4,parataxis,18,1
7,",",",",PUNCT,_,6,punct,18,1
8,что-то,что-то,PRON,Case=Nom,10,nsubj,18,1
9,еще,ещё,ADV,Degree=Pos,10,advmod,18,1
10,произошло,произойти,VERB,Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,2,conj,18,1
11,?,?,PUNCT,_,10,punct,18,1
12,Перед,перед,ADP,_,13,case,18,1
13,тем,тот,PRON,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,10,obl,18,1
14,",",",",PUNCT,_,17,punct,18,1
15,как,как,SCONJ,_,17,mark,18,1
16,она,она,PRON,Case=Nom|Gender=Fem|Number=Sing|Person=3,17,nsubj,18,1
17,попала,попасть,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,13,acl,18,1
18,в,в,ADP,_,19,case,18,1
19,дом,дом,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,17,obl,18,1
20,.,.,PUNCT,_,22,punct,18,1
21,/,/,PUNCT,_,22,punct,18,1
22,Что,что,PRON,Case=Nom,10,parataxis,18,1
23,?,?,PUNCT,_,22,punct,18,1
24,//,//,PUNCT,_,32,punct,18,1
25,Помнишь,помнить,VERB,Aspect=Perf|Mood=Ind|Number=Sing|Person=2|Tense=Fut|VerbForm=Fin|Voice=Act,2,conj,18,1
26,",",",",PUNCT,_,28,punct,18,1
27,что,что,PRON,Case=Nom,30,nsubj,18,1
28,было,быть,VERB,Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,25,ccomp,18,1
29,перед,перед,ADP,_,30,case,18,1
30,этим,это,PRON,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,28,obl,18,1
31,?,?,PUNCT,_,30,punct,18,1
32,М,м,PROPN,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,34,parataxis,18,1
33,",",",",PUNCT,_,32,punct,18,1
34,что-то,что-то,PRON,Case=Nom,28,conj,18,1
35,с,с,ADP,_,36,case,18,1
36,самоваром,самовар,NOUN,Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing,34,nmod,18,1
37,",",",",PUNCT,_,38,punct,18,1
38,помнишь,помнить,VERB,Aspect=Perf|Mood=Ind|Number=Sing|Person=2|Tense=Fut|VerbForm=Fin|Voice=Act,2,conj,18,1
39,?,?,PUNCT,_,2,punct,18,1
40,Да,да,PART,_,2,parataxis,18,1
1,Маша,маша,PROPN,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,2,nsubj,19,0
2,столкнула,столкнуть,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,19,0
3,самовар,самовар,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,2,obj,19,0
1,Да,да,PART,_,5,parataxis,20,1
2,",",",",PUNCT,_,1,punct,20,1
3,отлично,отлично,ADV,Degree=Pos,5,parataxis,20,1
4,",",",",PUNCT,_,3,punct,20,1
5,молодец,молодец,NOUN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,0,conj,20,1
6,.,.,PUNCT,_,5,punct,20,1
7,Э,э,PUNCT,_,5,punct,20,1
1,Что,что,PRON,Case=Nom,2,nsubj,21,1
2,произошло,произойти,VERB,Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,21,1
3,?,?,PUNCT,_,2,punct,21,1
1,у,у,ADP,_,2,case,22,0
2,Маши,маша,PROPN,Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing,4,nmod,22,0
3,на,на,ADP,_,4,case,22,0
4,голове,голова,NOUN,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,0,root,22,0
5,лягушка,лягушка,NOUN,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,4,nsubj,22,0
1,да,да,PUNCT,_,0,root,23,1
1,Что,что,PRON,Case=Acc,2,obj,24,1
2,сделала,сделать,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,24,1
3,лягушка,лягушка,NOUN,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,2,nsubj,24,1
4,?,?,PUNCT,_,2,punct,24,1
1,прыгнула,прыгнуть,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,25,0
2,в,в,ADP,_,3,case,25,0
3,пруд,пруд,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,1,obl,25,0
1,угу,угу,INTJ,_,0,root,26,1
1,На,на,ADP,_,2,case,27,1
2,чем,чем,PRON,Case=Loc,3,obl,27,1
3,сидит,сидеть,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,0,root,27,1
4,лягушка,лягушка,NOUN,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,3,nsubj,27,1
5,?,?,PUNCT,_,3,punct,27,1
1,на,на,ADP,_,3,case,28,0
2,Машиной,машина,ADJ,Case=Loc|Degree=Pos|Gender=Fem|Number=Sing,3,amod,28,0
3,голове,голова,NOUN,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,0,root,28,0
1,молодец,молодец,NOUN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,0,root,29,1
1,Что,что,PRON,Case=Nom,2,nsubj,30,1
2,произошло,произойти,VERB,Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,30,1
3,?,?,PUNCT,_,2,punct,30,1
1,Маша,маша,PROPN,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,2,nsubj,31,0
2,увидела,увидеть,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,31,0
3,белку,белка,NOUN,Animacy=Anim|Case=Acc|Gender=Fem|Number=Sing,2,obj,31,0
1,Что,что,PRON,Case=Acc,2,obj,32,1
2,сделала,сделать,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,32,1
3,белка,белка,NOUN,Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing,2,nsubj,32,1
4,?,?,PUNCT,_,2,punct,32,1
1,Шишки,шишка,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur,4,obj,33,0
2,на,на,ADP,_,3,case,33,0
3,неё,она,PRON,Case=Acc|Gender=Fem|Number=Sing|Person=3,4,obl,33,0
4,кидала,кидать,VERB,Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,33,0
1,От,от,ADP,_,2,case,34,1
2,кого,кто,PRON,Case=Gen,3,obl,34,1
3,бежала,бежать,VERB,Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,34,1
4,белка,белка,NOUN,Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing,3,nsubj,34,1
5,?,?,PUNCT,_,3,punct,34,1
1,от,от,ADP,_,2,case,35,0
2,Маши,маша,PROPN,Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing,0,root,35,0
1,Да,да,PART,_,0,root,36,1
1,Что,что,PRON,Case=Nom,2,nsubj,37,1
2,произошло,произойти,VERB,Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,37,1
3,?,?,PUNCT,_,2,punct,37,1
1,Маша,маша,PROPN,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,2,nsubj,38,0
2,напугала,напугать,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,38,0
3,пчел,пчела,NOUN,Animacy=Anim|Case=Acc|Gender=Fem|Number=Plur,2,obj,38,0
1,Что,что,PRON,Case=Acc,2,obj,39,1
2,сделала,сделать,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,39,1
3,девочка,девочка,NOUN,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,2,nsubj,39,1
4,?,?,PUNCT,_,2,punct,39,1
1,убежала,убежать,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,40,0
1,Откуда,откуда,ADV,Degree=Pos,2,advmod,41,1
2,появились,появиться,VERB,Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid,0,root,41,1
3,пчелы,пчела,NOUN,Animacy=Anim|Case=Nom|Gender=Fem|Number=Plur,2,nsubj,41,1
4,?,?,PUNCT,_,2,punct,41,1
1,из,из,ADP,_,2,case,42,0
2,ульи,улья,NOUN,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,0,root,42,0
3,?,?,PUNCT,_,2,punct,42,0
4,?,?,PUNCT,_,2,punct,42,0
1,Да,да,PART,_,3,parataxis,43,1
2,",",",",PUNCT,_,1,punct,43,1
3,молодец,молодец,NOUN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,0,root,43,1
4,.,.,PUNCT,_,3,punct,43,1
1,Мед-,мед-,PUNCT,_,2,punct,44,0
2,м-медведь,м-медведь,NOUN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,3,nsubj,44,0
3,собирал,собирать,VERB,Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,44,0
4,фрукты,фрукт,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur,3,obj,44,0
5,и,и,CCONJ,_,7,cc,44,0
6,э,э,X,Foreign=Yes,7,advmod,44,0
7,овощи,овощ,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur,4,conj,44,0
1,угу,угу,INTJ,_,0,root,45,1
1,собирал,собирать,VERB,Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,46,0
2,в,в,ADP,_,3,case,46,0
3,корзинки,корзинка,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur,1,obl,46,0
1,угу,угу,INTJ,_,0,root,47,1
1,чтобы,чтобы,SCONJ,Mood=Cnd,2,mark,48,0
2,сварить,сварить,VERB,Aspect=Perf|VerbForm=Inf|Voice=Act,0,root,48,0
3,варенье,варение,NOUN,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,2,obj,48,0
1,да,да,PUNCT,_,0,root,49,1
1,приготовил,приготовить,VERB,Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,50,0
2,чай,чай,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,1,obj,50,0
3,и,и,CCONJ,_,4,cc,50,0
4,самова-р,самова-р,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,2,conj,50,0
1,Что,что,PRON,Case=Nom,2,nsubj,51,1
2,произошло,произойти,VERB,Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,51,1
3,?,?,PUNCT,_,2,punct,51,1
1,медведь,медведь,NOUN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,2,nsubj,52,0
2,поставил,поставить,VERB,Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,52,0
3,кастрюлю,кастрюля,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,2,obj,52,0
4,на,на,ADP,_,2,advmod,52,0
5,пли-,пли-,PUNCT,_,2,punct,52,0
1,Что,что,PRON,Case=Acc,2,obj,53,1
2,делает,делать,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,0,root,53,1
3,медведь,медведь,NOUN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,2,nsubj,53,1
4,?,?,PUNCT,_,2,punct,53,1
1,варит,варить,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,0,root,54,0
2,варенье,варение,NOUN,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,1,obj,54,0
1,угу,угу,INTJ,_,0,root,55,1
1,Куда,куда,ADV,Degree=Pos,3,advmod,56,1
2,медведь,медведь,NOUN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,3,nsubj,56,1
3,ставит,ставить,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,0,root,56,1
4,кастрюлю,кастрюля,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,3,obj,56,1
5,?,?,PUNCT,_,3,punct,56,1
1,на,на,ADP,_,2,case,57,0
2,плитку,плитка,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,0,root,57,0
1,да,да,PART,_,3,parataxis,58,1
2,",",",",PUNCT,_,1,punct,58,1
3,молодец,молодец,NOUN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,0,root,58,1
1,Что,что,PRON,Case=Nom,2,nsubj,59,1
2,произошло,произойти,VERB,Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,59,1
3,?,?,PUNCT,_,2,punct,59,1
1,он,он,PRON,Case=Nom|Gender=Masc|Number=Sing|Person=3,2,nsubj,60,0
2,взял,взять,VERB,Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,60,0
3,сахар,сахар,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,2,obj,60,0
1,Что,что,PRON,Case=Acc,2,obj,61,1
2,делает,делать,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,0,root,61,1
3,медведь,медведь,NOUN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,2,nsubj,61,1
4,?,?,PUNCT,_,2,punct,61,1
1,сахар,сахар,NOUN,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,2,nsubj,62,0
2,по-понес,по-понести,ADV,Degree=Pos,0,root,62,0
3,для,для,ADP,_,4,case,62,0
4,варенья,варение,NOUN,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,2,obl,62,0
1,В,в,ADP,_,3,case,63,1
2,каком,какой,DET,Case=Loc|Gender=Neut|Number=Sing,3,det,63,1
3,положении,положение,NOUN,Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing,4,obl,63,1
4,находится,находиться,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,0,root,63,1
5,сахар,сахар,NOUN,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,4,nsubj,63,1
6,?,?,PUNCT,_,4,punct,63,1
1,в,в,ADP,_,2,case,64,0
2,коробочках,коробочка,NOUN,Animacy=Inan|Case=Loc|Gender=Fem|Number=Plur,0,root,64,0
1,угу,угу,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act,0,root,65,1
