id,word,lemma,upos,feats,head,deprel,segment_id,is_prompt
1,Ты,ты,PRON,Case=Nom|Number=Sing|Person=2,3,nsubj,1,1
2,сейчас,сейчас,ADV,Degree=Pos,3,advmod,1,1
3,посмотрела,посмотреть,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,1,1
4,мультик,мультик,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,3,obj,1,1
5,",",",",PUNCT,_,6,punct,1,1
6,да,да,PART,_,3,conj,1,1
7,?,?,PUNCT,_,6,punct,1,1
8,Что,что,PRON,Case=Nom,11,nsubj,1,1
9,в,в,ADP,_,10,case,1,1
10,нем,он,PRON,Case=Loc|Gender=Masc|Number=Sing|Person=3,11,obl,1,1
11,произошло,произойти,VERB,Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,3,conj,1,1
12,?,?,PUNCT,_,3,punct,1,1
1,Маша,маша,PROPN,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,2,nsubj,2,0
2,гонялась,гоняться,VERB,Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid,0,root,2,0
3,за,за,ADP,_,4,case,2,0
4,лягушкой,лягушка,NOUN,Animacy=Anim|Case=Ins|Gender=Fem|Number=Sing,2,obl,2,0
5,.,.,PUNCT,_,2,punct,2,0
1,угу,угу,INTJ,_,0,root,3,1
1,Лягушка,лягушка,NOUN,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,2,nsubj,4,0
2,прыгнула,прыгнуть,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,4,0
3,в,в,ADP,_,4,case,4,0
4,пруд,пруд,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,2,obl,4,0
5,.,.,PUNCT,_,2,punct,4,0
1,угу,угу,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act,0,root,5,1
2,(,(,PUNCT,_,3,punct,5,1
3,ребенок,ребёнок,NOUN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,1,appos,5,1
4,:,:,PUNCT,_,3,punct,5,1
5,/,/,PUNCT,_,3,punct,5,1
6,),),PUNCT,_,3,punct,5,1
7,Что-то,что-то,PRON,Case=Acc,9,obj,5,1
8,еще,ещё,ADV,Degree=Pos,9,advmod,5,1
9,помнишь,помнить,VERB,Aspect=Perf|Mood=Ind|Number=Sing|Person=2|Tense=Fut|VerbForm=Fin|Voice=Act,1,parataxis,5,1
10,?,?,PUNCT,_,9,punct,5,1
11,(,(,PUNCT,_,12,punct,5,1
12,ребенок,ребёнок,NOUN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,9,parataxis,5,1
13,:,:,PUNCT,_,12,punct,5,1
14,/,/,PUNCT,_,12,punct,5,1
15,),),PUNCT,_,12,punct,5,1
16,Смотри,смотреть,VERB,Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act,9,parataxis,5,1
17,",",",",PUNCT,_,22,punct,5,1
18,где,где,ADV,Degree=Pos,22,advmod,5,1
19,сейчас,сейчас,ADV,Degree=Pos,22,advmod,5,1
20,Маша,маша,PROPN,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,22,nsubj,5,1
21,на,на,ADP,_,22,case,5,1
22,картинке,картинка,NOUN,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,16,obl,5,1
23,?,?,PUNCT,_,1,punct,5,1
1,на,на,ADP,_,2,case,6,0
2,дереве,дерево,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,0,root,6,0
1,Да,да,PART,_,0,root,7,1
2,",",",",PUNCT,_,7,punct,7,1
3,а,а,CCONJ,_,7,cc,7,1
4,как,как,ADV,Degree=Pos,7,advmod,7,1
5,она,она,PRON,Case=Nom|Gender=Fem|Number=Sing|Person=3,7,nsubj,7,1
6,туда,туда,ADV,Degree=Pos,7,advmod,7,1
7,попала,попасть,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,1,conj,7,1
8,?,?,PUNCT,_,1,punct,7,1
1,залезла,залезть,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,8,0
1,Залезла,залезть,VERB,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,9,1
2,",",",",PUNCT,_,3,punct,9,1
3,да,да,PART,_,1,conj,9,1
4,.,.,PUNCT,_,7,punct,9,1
5,Как,как,ADV,Degree=Pos,7,advmod,9,1
6,она,она,PRON,Case=Nom|Gender=Fem|Number=Sing|Person=3,7,nsubj,9,1
